,datetime,candidate,votes,state,district,type
250,2020-11-16 17:32:33+00:00,Trump,37,Arkansas,,
251,2020-11-16 17:32:33+00:00,Biden,18,Arkansas,,
252,2020-11-16 15:52:53+00:00,Trump,17,Arkansas,,
253,2020-11-16 15:52:53+00:00,Biden,4,Arkansas,,
254,2020-11-16 15:44:33+00:00,Trump,177,Arkansas,,
255,2020-11-16 15:44:33+00:00,Biden,122,Arkansas,,
256,2020-11-16 15:36:12+00:00,Trump,125,Arkansas,,
257,2020-11-16 15:36:12+00:00,Biden,69,Arkansas,,
258,2020-11-16 15:27:52+00:00,Trump,13,Arkansas,,
259,2020-11-16 15:27:52+00:00,Biden,10,Arkansas,,
260,2020-11-15 18:07:50+00:00,Trump,71,Arkansas,,
261,2020-11-15 18:07:50+00:00,Biden,21,Arkansas,,
262,2020-11-14 00:30:24+00:00,Trump,72,Arkansas,,
263,2020-11-14 00:30:24+00:00,Biden,27,Arkansas,,
264,2020-11-13 23:21:03+00:00,Trump,13,Arkansas,,
265,2020-11-13 23:21:03+00:00,Biden,7,Arkansas,,
266,2020-11-13 23:11:42+00:00,Trump,28,Arkansas,,
267,2020-11-13 23:11:42+00:00,Biden,12,Arkansas,,
268,2020-11-13 21:39:42+00:00,Trump,275,Arkansas,,
269,2020-11-13 21:39:42+00:00,Biden,497,Arkansas,,
270,2020-11-13 21:00:17+00:00,Trump,26,Arkansas,,
271,2020-11-13 21:00:17+00:00,Biden,10,Arkansas,,
272,2020-11-13 20:43:56+00:00,Trump,2,Arkansas,,
273,2020-11-13 20:43:56+00:00,Biden,1,Arkansas,,
274,2020-11-13 20:33:38+00:00,Trump,21,Arkansas,,
275,2020-11-13 20:33:38+00:00,Biden,33,Arkansas,,
276,2020-11-13 20:09:56+00:00,Trump,473,Arkansas,,
277,2020-11-13 20:09:56+00:00,Biden,460,Arkansas,,
278,2020-11-13 19:46:58+00:00,Trump,8,Arkansas,,
279,2020-11-13 19:46:58+00:00,Biden,3,Arkansas,,
280,2020-11-13 18:51:38+00:00,Trump,43,Arkansas,,
281,2020-11-13 18:51:38+00:00,Biden,17,Arkansas,,
282,2020-11-13 18:16:31+00:00,Trump,24,Arkansas,,
283,2020-11-13 18:16:31+00:00,Biden,29,Arkansas,,
284,2020-11-13 17:53:30+00:00,Trump,2,Arkansas,,
285,2020-11-13 17:53:30+00:00,Biden,8,Arkansas,,
286,2020-11-13 17:32:32+00:00,Trump,4,Arkansas,,
287,2020-11-13 17:32:32+00:00,Biden,2,Arkansas,,
288,2020-11-13 16:42:51+00:00,Trump,85,Arkansas,,
289,2020-11-13 16:42:51+00:00,Biden,74,Arkansas,,
290,2020-11-13 15:36:10+00:00,Trump,17,Arkansas,,
291,2020-11-13 15:36:10+00:00,Biden,4,Arkansas,,
292,2020-11-13 15:15:30+00:00,Trump,10,Arkansas,,
293,2020-11-13 15:15:30+00:00,Biden,2,Arkansas,,
294,2020-11-13 14:58:31+00:00,Trump,2,Arkansas,,
295,2020-11-13 14:58:31+00:00,Biden,3,Arkansas,,
296,2020-11-12 22:07:44+00:00,Trump,6,Arkansas,,
297,2020-11-12 22:07:44+00:00,Biden,8,Arkansas,,
298,2020-11-12 17:38:43+00:00,Trump,15,Arkansas,,
299,2020-11-12 17:38:43+00:00,Biden,5,Arkansas,,
300,2020-11-10 21:53:23+00:00,Trump,11,Arkansas,,
301,2020-11-10 21:53:23+00:00,Biden,1,Arkansas,,
302,2020-11-10 18:37:24+00:00,Trump,19,Arkansas,,
303,2020-11-10 18:37:24+00:00,Biden,13,Arkansas,,
304,2020-11-10 04:16:39+00:00,Trump,26,Arkansas,,
305,2020-11-10 04:16:39+00:00,Biden,19,Arkansas,,
306,2020-11-09 17:17:21+00:00,Trump,159,Arkansas,,updated
307,2020-11-09 17:17:21+00:00,Biden,55,Arkansas,,updated
308,2020-11-09 16:41:11+00:00,Trump,392,Arkansas,,updated
309,2020-11-09 16:41:11+00:00,Biden,2837,Arkansas,,updated
310,2020-11-09 15:22:03+00:00,Trump,1172,Arkansas,,
311,2020-11-09 15:22:03+00:00,Biden,119,Arkansas,,
312,2020-11-07 15:17:32+00:00,Trump,5431,Arkansas,,
313,2020-11-07 15:17:32+00:00,Biden,3087,Arkansas,,
314,2020-11-06 20:08:18+00:00,Trump,5,Arkansas,,
315,2020-11-06 20:08:18+00:00,Biden,1,Arkansas,,
316,2020-11-06 19:30:23+00:00,Trump,392,Arkansas,,updated
317,2020-11-06 19:30:23+00:00,Biden,2837,Arkansas,,updated
318,2020-11-06 19:13:48+00:00,Trump,-1346,Arkansas,,updated
319,2020-11-06 19:13:48+00:00,Biden,1553,Arkansas,,updated
320,2020-11-05 21:53:18+00:00,Trump,3453,Arkansas,,
321,2020-11-05 21:53:18+00:00,Biden,2380,Arkansas,,
322,2020-11-05 21:29:17+00:00,Trump,125,Arkansas,,
323,2020-11-05 21:29:17+00:00,Biden,98,Arkansas,,
324,2020-11-05 16:08:12+00:00,Trump,89,Arkansas,,
325,2020-11-05 16:08:12+00:00,Biden,51,Arkansas,,
326,2020-11-04 23:49:45+00:00,Trump,598,Arkansas,,
327,2020-11-04 23:49:45+00:00,Biden,1206,Arkansas,,
328,2020-11-04 22:27:15+00:00,Trump,3192,Arkansas,,
329,2020-11-04 22:27:15+00:00,Biden,709,Arkansas,,
330,2020-11-04 20:23:38+00:00,Trump,88,Arkansas,,
331,2020-11-04 20:23:38+00:00,Biden,86,Arkansas,,
332,2020-11-04 20:14:42+00:00,Trump,74,Arkansas,,
333,2020-11-04 20:14:42+00:00,Biden,10,Arkansas,,
334,2020-11-04 18:56:14+00:00,Trump,6798,Arkansas,,
335,2020-11-04 18:56:14+00:00,Biden,2103,Arkansas,,
336,2020-11-04 17:24:40+00:00,Trump,18,Arkansas,,
337,2020-11-04 17:24:40+00:00,Biden,5,Arkansas,,
338,2020-11-04 14:40:19+00:00,Trump,9,Arkansas,,
339,2020-11-04 14:40:19+00:00,Biden,12,Arkansas,,
340,2020-11-04 13:28:22+00:00,Trump,735422,Arkansas,,
341,2020-11-04 13:28:22+00:00,Biden,399922,Arkansas,,
342,2020-12-03 06:20:21+00:00,Biden,3021,California,,
343,2020-12-03 06:20:21+00:00,Trump,2119,California,,
344,2020-12-03 00:40:21+00:00,Biden,8067,California,,
345,2020-12-03 00:40:21+00:00,Trump,9168,California,,
346,2020-12-02 15:22:19+00:00,Biden,6408,California,,
347,2020-12-02 15:22:19+00:00,Trump,4663,California,,
348,2020-12-01 21:22:19+00:00,Biden,1437,California,,
349,2020-12-01 21:22:19+00:00,Trump,896,California,,
350,2020-12-01 18:45:19+00:00,Biden,321,California,,
351,2020-12-01 18:45:19+00:00,Trump,282,California,,
352,2020-12-01 05:43:18+00:00,Biden,1175,California,,
353,2020-12-01 05:43:18+00:00,Trump,1046,California,,
354,2020-12-01 02:45:28+00:00,Biden,2155,California,,
355,2020-12-01 02:45:28+00:00,Trump,2278,California,,
356,2020-12-01 01:28:20+00:00,Biden,3008,California,,
357,2020-12-01 01:28:20+00:00,Trump,1223,California,,
358,2020-12-01 00:49:19+00:00,Biden,82,California,,
359,2020-12-01 00:49:19+00:00,Trump,39,California,,
360,2020-11-30 21:15:17+00:00,Biden,890,California,,
361,2020-11-30 21:15:17+00:00,Trump,1469,California,,
362,2020-11-30 17:48:17+00:00,Biden,907,California,,
363,2020-11-30 17:48:17+00:00,Trump,584,California,,
364,2020-11-28 02:45:15+00:00,Biden,2670,California,,
365,2020-11-28 02:45:15+00:00,Trump,3403,California,,
366,2020-11-27 23:44:23+00:00,Biden,466,California,,
367,2020-11-27 23:44:23+00:00,Trump,301,California,,
368,2020-11-27 23:11:15+00:00,Biden,1556,California,,
369,2020-11-27 23:11:15+00:00,Trump,620,California,,
370,2020-11-27 20:41:15+00:00,Biden,157,California,,
371,2020-11-27 20:41:15+00:00,Trump,42,California,,
372,2020-11-27 17:43:15+00:00,Biden,99,California,,
373,2020-11-27 17:43:15+00:00,Trump,272,California,,
374,2020-11-26 05:43:21+00:00,Biden,480,California,,
375,2020-11-26 05:43:21+00:00,Trump,570,California,,
376,2020-11-26 03:57:14+00:00,Biden,20454,California,,
377,2020-11-26 03:57:14+00:00,Trump,13219,California,,
378,2020-11-25 22:02:21+00:00,Biden,834,California,,
379,2020-11-25 22:02:21+00:00,Trump,792,California,,
380,2020-11-25 13:13:12+00:00,Biden,4231,California,,
381,2020-11-25 13:13:12+00:00,Trump,2859,California,,
382,2020-11-25 05:44:12+00:00,Biden,1064,California,,
383,2020-11-25 05:44:12+00:00,Trump,871,California,,
384,2020-11-25 02:48:20+00:00,Biden,3164,California,,
385,2020-11-25 02:48:20+00:00,Trump,2576,California,,
386,2020-11-24 23:48:13+00:00,Biden,4731,California,,
387,2020-11-24 23:48:13+00:00,Trump,3817,California,,
388,2020-11-24 23:11:14+00:00,Biden,3775,California,,
